food_kr,food_en,image_url
츄러스 바바리안 크림,Churros barbarian cream,"https://source.unsplash.com/400x400/?Churros%20barbarian%20cream,food"
베이컨 포테이토 데니쉬,Bacon Potato Danish,"https://source.unsplash.com/400x400/?Bacon%20Potato%20Danish,food"
리얼 과일스무디 딸기바나나,Real Fruit Smoothie Strawberry Banana,"https://source.unsplash.com/400x400/?Real%20Fruit%20Smoothie%20Strawberry%20Banana,food"
제주 한라봉 주스,Jeju Hallabong Juice,"https://source.unsplash.com/400x400/?Jeju%20Hallabong%20Juice,food"
스위트불고기 피자,Sweet & Bulgogi Pizza,"https://source.unsplash.com/400x400/?Sweet%20%26%20Bulgogi%20Pizza,food"
시그니처 콜드브루 카라멜 마끼아또,Signature cold brew caramel macchiato,"https://source.unsplash.com/400x400/?Signature%20cold%20brew%20caramel%20macchiato,food"
스페셜콤비네이션 피자,Special Combination Pizza,"https://source.unsplash.com/400x400/?Special%20Combination%20Pizza,food"
돼지고기튀김,Fried pork,"https://source.unsplash.com/400x400/?Fried%20pork,food"
에스프레소 쉐이크,Espresso shake,"https://source.unsplash.com/400x400/?Espresso%20shake,food"
라조기,Lasoggi,"https://source.unsplash.com/400x400/?Lasoggi,food"
시금치 치아바타,Spinach Ciabatta,"https://source.unsplash.com/400x400/?Spinach%20Ciabatta,food"
고추장불고기,Gochujang Bulgogi,"https://source.unsplash.com/400x400/?Gochujang%20Bulgogi,food"
실크 팥빙수,Silk Patbingsu,"https://source.unsplash.com/400x400/?Silk%20Patbingsu,food"
알,Side,"https://source.unsplash.com/400x400/?Side,food"
제주청귤 블라썸 핫,Jeju tangerine blossom hot,"https://source.unsplash.com/400x400/?Jeju%20tangerine%20blossom%20hot,food"
낭만 달고나 라떼 아이스,Romantic sweet gowna latte ice,"https://source.unsplash.com/400x400/?Romantic%20sweet%20gowna%20latte%20ice,food"
김치만두,Kimchi dumplings,"https://source.unsplash.com/400x400/?Kimchi%20dumplings,food"
하동매실피치티 아이스,Hadong Mae Sil Peachti Ice,"https://source.unsplash.com/400x400/?Hadong%20Mae%20Sil%20Peachti%20Ice,food"
트위스터 샌드위치,Twister Sandwich,"https://source.unsplash.com/400x400/?Twister%20Sandwich,food"
회냉면,Hoe-cooled nood,"https://source.unsplash.com/400x400/?Hoe-cooled%20nood,food"
새우천왕 피자 크림치즈,Shrimp Cheonwang Pizza Cream Cheese,"https://source.unsplash.com/400x400/?Shrimp%20Cheonwang%20Pizza%20Cream%20Cheese,food"
누텔라 초코듬뿍 마시멜로 크로플,Nutella chocolate marshmallow croffle,"https://source.unsplash.com/400x400/?Nutella%20chocolate%20marshmallow%20croffle,food"
헤이즐넛 스타벅스 더블 샷,Hazelnut Starbucks Double Shot,"https://source.unsplash.com/400x400/?Hazelnut%20Starbucks%20Double%20Shot,food"
쌀휘낭시에,in Chalghunangsie,"https://source.unsplash.com/400x400/?in%20Chalghunangsie,food"
황올 반+양념 반 치킨,Half hwangol + half seasoned chicken,"https://source.unsplash.com/400x400/?Half%20hwangol%20%2B%20half%20seasoned%20chicken,food"
카라멜 마끼야또 아이스,Caramel macchiato ice,"https://source.unsplash.com/400x400/?Caramel%20macchiato%20ice,food"
브라운샷버블 라떼 아이스,Brown Shot Bubble Latte Ice,"https://source.unsplash.com/400x400/?Brown%20Shot%20Bubble%20Latte%20Ice,food"
삼광,Samkwang,"https://source.unsplash.com/400x400/?Samkwang,food"
생크림 롤케이크 플레인,Whipped cream roll cake plain,"https://source.unsplash.com/400x400/?Whipped%20cream%20roll%20cake%20plain,food"
복숭아 요거트 드링크,Peach Yogurt Drink,"https://source.unsplash.com/400x400/?Peach%20Yogurt%20Drink,food"
디카페인 니트로 커피,Decaffeinated nitro coffee,"https://source.unsplash.com/400x400/?Decaffeinated%20nitro%20coffee,food"
닭모래집볶음,Stir-Fried Chicken Sand House,"https://source.unsplash.com/400x400/?Stir-Fried%20Chicken%20Sand%20House,food"
우리 고구마 피자 슈화 더블 치즈 페퍼로니 엣지,Our Sweet Potato Pizza Shoe Double Cheese Pepperoni Edge,"https://source.unsplash.com/400x400/?Our%20Sweet%20Potato%20Pizza%20Shoe%20Double%20Cheese%20Pepperoni%20Edge,food"
스파이시 치킨 랜치 피자 치즈롤,Spicy Chicken Ranch Pizza Cheese Roll,"https://source.unsplash.com/400x400/?Spicy%20Chicken%20Ranch%20Pizza%20Cheese%20Roll,food"
카스텔라 꽈배기,Castella's Twist,"https://source.unsplash.com/400x400/?Castella%27s%20Twist,food"
배 슬러피 아이스,Pear Slurpee Ice,"https://source.unsplash.com/400x400/?Pear%20Slurpee%20Ice,food"
애플시나몬 크로플,Apple Cinnamon Crawfl,"https://source.unsplash.com/400x400/?Apple%20Cinnamon%20Crawfl,food"
바스크치즈 케이크,Basque cheese cake,"https://source.unsplash.com/400x400/?Basque%20cheese%20cake,food"
더블콤비네이션 피자,Double Combination Pizza,"https://source.unsplash.com/400x400/?Double%20Combination%20Pizza,food"
사랑에 빠진 딸기 아이스크림,Strawberry ice cream in love,"https://source.unsplash.com/400x400/?Strawberry%20ice%20cream%20in%20love,food"
조기조림,Pre-cooked,"https://source.unsplash.com/400x400/?Pre-cooked,food"
데일리오트코코넛 라떼 아이스,Daily Coconut Latte Ice,"https://source.unsplash.com/400x400/?Daily%20Coconut%20Latte%20Ice,food"
레몬차 핫,Lemon Tea Hot,"https://source.unsplash.com/400x400/?Lemon%20Tea%20Hot,food"
딸기 솔베 젤라또,Strawberry Solve Gelato,"https://source.unsplash.com/400x400/?Strawberry%20Solve%20Gelato,food"
클래식 블루베리 와플,Classic Blueberry Waffles,"https://source.unsplash.com/400x400/?Classic%20Blueberry%20Waffles,food"
짱감자 피자 밀스크린,Awesome Potato Pizza Mill Screen,"https://source.unsplash.com/400x400/?Awesome%20Potato%20Pizza%20Mill%20Screen,food"
버터파운드 케이크,Butterpound cake,"https://source.unsplash.com/400x400/?Butterpound%20cake,food"
유자레몬티 핫,Yuzaremonti Hot,"https://source.unsplash.com/400x400/?Yuzaremonti%20Hot,food"
소등심,Light heart,"https://source.unsplash.com/400x400/?Light%20heart,food"
딸기베리치즈,Strawberry Berry Cheese,"https://source.unsplash.com/400x400/?Strawberry%20Berry%20Cheese,food"
오일소스,Oil Sauce,"https://source.unsplash.com/400x400/?Oil%20Sauce,food"
파스트라미 피자,Pastrami Pizza,"https://source.unsplash.com/400x400/?Pastrami%20Pizza,food"
아이스 카페모카,Iced cafe mocha,"https://source.unsplash.com/400x400/?Iced%20cafe%20mocha,food"
헤이즐넛 딥 라떼 아이스,Hazelnut Deep Latte Ice,"https://source.unsplash.com/400x400/?Hazelnut%20Deep%20Latte%20Ice,food"
밤호박 피자 씬,Pumpkin Night Pizza Scene,"https://source.unsplash.com/400x400/?Pumpkin%20Night%20Pizza%20Scene,food"
엄마는외계인 아이스크림,Mom is an alien ice cream,"https://source.unsplash.com/400x400/?Mom%20is%20an%20alien%20ice%20cream,food"
팥이팅 소보루 도넛,Red Bean Eating Soboru Donut,"https://source.unsplash.com/400x400/?Red%20Bean%20Eating%20Soboru%20Donut,food"
제주청귤 오리지널 핫,Jeju Blue Tangerine Original Hot,"https://source.unsplash.com/400x400/?Jeju%20Blue%20Tangerine%20Original%20Hot,food"
포테이토 피자 리코타링,Potato Pizza Ricotta Ring,"https://source.unsplash.com/400x400/?Potato%20Pizza%20Ricotta%20Ring,food"
더블 베네브루 디카페인,Double Benebrew Decaffeinated,"https://source.unsplash.com/400x400/?Double%20Benebrew%20Decaffeinated,food"
리아미라클 버거,Riamiracle Burger,"https://source.unsplash.com/400x400/?Riamiracle%20Burger,food"
들깨죽,Perilla porridge,"https://source.unsplash.com/400x400/?Perilla%20porridge,food"
매직모카크림빵,Magic Mocha Cream Bread,"https://source.unsplash.com/400x400/?Magic%20Mocha%20Cream%20Bread,food"
통 파인애플 피자,Whole pineapple pizza,"https://source.unsplash.com/400x400/?Whole%20pineapple%20pizza,food"
카푸치노 핫,Cappuccino Hot,"https://source.unsplash.com/400x400/?Cappuccino%20Hot,food"
초코티라미수 케이크,Chocotiramisu cake,"https://source.unsplash.com/400x400/?Chocotiramisu%20cake,food"
롱치즈스틱,Long cheese stick,"https://source.unsplash.com/400x400/?Long%20cheese%20stick,food"
민트초콜릿 아이스,Mint chocolate ice,"https://source.unsplash.com/400x400/?Mint%20chocolate%20ice,food"
마라 피자 골드스윗,Mara Pizza Gold Sweet,"https://source.unsplash.com/400x400/?Mara%20Pizza%20Gold%20Sweet,food"
파김치,Pajimchi,"https://source.unsplash.com/400x400/?Pajimchi,food"
매실차 아이스,Plum tea ice,"https://source.unsplash.com/400x400/?Plum%20tea%20ice,food"
스위트후르츠 핫,Sweet Fruit Hot,"https://source.unsplash.com/400x400/?Sweet%20Fruit%20Hot,food"
돌체 카푸치노 N2,Dolce Cappuccino N2,"https://source.unsplash.com/400x400/?Dolce%20Cappuccino%20N2,food"
호로록떡볶이,Horolok Tteokbokki,"https://source.unsplash.com/400x400/?Horolok%20Tteokbokki,food"
숭어 매운탕,Mullet maeuntang,"https://source.unsplash.com/400x400/?Mullet%20maeuntang,food"
초코 씨리얼 빙수,Choco cereal shaved ice,"https://source.unsplash.com/400x400/?Choco%20cereal%20shaved%20ice,food"
쿠쿠피그 마카롱,Cucupig Macarons,"https://source.unsplash.com/400x400/?Cucupig%20Macarons,food"
롱치킨 버거,Long Chicken Burgers,"https://source.unsplash.com/400x400/?Long%20Chicken%20Burgers,food"
핫멕시칸 피자 체다크림크러스트,Hot Mexican Pizza Cheddar Cream Crust,"https://source.unsplash.com/400x400/?Hot%20Mexican%20Pizza%20Cheddar%20Cream%20Crust,food"
청포도 에이드,Blue Grapes Aid,"https://source.unsplash.com/400x400/?Blue%20Grapes%20Aid,food"
카라멜마끼아또 아이스,Caramel macchiato ice,"https://source.unsplash.com/400x400/?Caramel%20macchiato%20ice,food"
채소,Vegetable,"https://source.unsplash.com/400x400/?Vegetable,food"
아시아고 피자 흑미스크린치즈크러스트,Asiago Pizza Black Mi-Screen Cheese Crust,"https://source.unsplash.com/400x400/?Asiago%20Pizza%20Black%20Mi-Screen%20Cheese%20Crust,food"
페이머스 글레이즈드 도넛,Famous Glazed Donut,"https://source.unsplash.com/400x400/?Famous%20Glazed%20Donut,food"
잣죽,Pineapple,"https://source.unsplash.com/400x400/?Pineapple,food"
민트 초코칩 할리치노,Mint Chocolate Chip Halicino,"https://source.unsplash.com/400x400/?Mint%20Chocolate%20Chip%20Halicino,food"
치즈크림팡도르,Cheese cream pandor,"https://source.unsplash.com/400x400/?Cheese%20cream%20pandor,food"
콜드브루 아메리카노 보틀,Cold Brew Americano Bottle,"https://source.unsplash.com/400x400/?Cold%20Brew%20Americano%20Bottle,food"
닭발구이,Grilled Chicken Feet,"https://source.unsplash.com/400x400/?Grilled%20Chicken%20Feet,food"
완자전,Wanjiajian,"https://source.unsplash.com/400x400/?Wanjiajian,food"
마스카포네생크림 케이크 자몽/오렌지,Mascarpone Cream Cake Grapefruit/Orange,"https://source.unsplash.com/400x400/?Mascarpone%20Cream%20Cake%20Grapefruit/Orange,food"
청자스페셜,Cheongja Special,"https://source.unsplash.com/400x400/?Cheongja%20Special,food"
상추,Lactuca sativa,"https://source.unsplash.com/400x400/?Lactuca%20sativa,food"
티라미수 크림 데니쉬,Tiramisu Cream Danish,"https://source.unsplash.com/400x400/?Tiramisu%20Cream%20Danish,food"
설향 딸기 라떼 아이스,Snow Scented Strawberry Latte Ice,"https://source.unsplash.com/400x400/?Snow%20Scented%20Strawberry%20Latte%20Ice,food"
카페오르조,Cafe Orgio,"https://source.unsplash.com/400x400/?Cafe%20Orgio,food"
과테말라 누에보 오리엔테,Guatemala Nuevo Oriente,"https://source.unsplash.com/400x400/?Guatemala%20Nuevo%20Oriente,food"
얼그레이 핫,Earl Grey Hot,"https://source.unsplash.com/400x400/?Earl%20Grey%20Hot,food"
히비스커스펀치슬러쉬,Hibiscus Punch Slushie,"https://source.unsplash.com/400x400/?Hibiscus%20Punch%20Slushie,food"
비벼먹는 페스츄리 초콜릿,Festive chocolate rubbing,"https://source.unsplash.com/400x400/?Festive%20chocolate%20rubbing,food"
까놀레,Canole,"https://source.unsplash.com/400x400/?Canole,food"
고구마랍스터볼크림 피자,Sweet potato lobster ball cream pizza,"https://source.unsplash.com/400x400/?Sweet%20potato%20lobster%20ball%20cream%20pizza,food"
쉬림프골드 피자 씬,Shrimp gold pizza scene,"https://source.unsplash.com/400x400/?Shrimp%20gold%20pizza%20scene,food"
피자 고로케,Pizza croquette,"https://source.unsplash.com/400x400/?Pizza%20croquette,food"
듬뿍체다페파로니 피자,Lempoche da Peparoni Pizza,"https://source.unsplash.com/400x400/?Lempoche%20da%20Peparoni%20Pizza,food"
코코넛 버블티,Coconut bubble tea,"https://source.unsplash.com/400x400/?Coconut%20bubble%20tea,food"
휠렛 버거,Wheellet burger,"https://source.unsplash.com/400x400/?Wheellet%20burger,food"
목구멍이 포도 청포도 크로플 생크림,Throat Throat Grapes Clear Grape Cropple Fresh Cream,"https://source.unsplash.com/400x400/?Throat%20Throat%20Grapes%20Clear%20Grape%20Cropple%20Fresh%20Cream,food"
더블핫치킨폭탄 피자,Double Hot Chicken Bomb Pizza,"https://source.unsplash.com/400x400/?Double%20Hot%20Chicken%20Bomb%20Pizza,food"
리얼 과일스무디 망고,Real Fruit Smoothie Mango,"https://source.unsplash.com/400x400/?Real%20Fruit%20Smoothie%20Mango,food"
해쉬베이컨 피자 씬도우,Hash Bacon Pizza Scindough,"https://source.unsplash.com/400x400/?Hash%20Bacon%20Pizza%20Scindough,food"
뽀드득그릴소시지,Po-de-Duc-Grill sausage,"https://source.unsplash.com/400x400/?Po-de-Duc-Grill%20sausage,food"
아이리쉬 포테이토 피자 골드링,Irish Potato Pizza Gold Ring,"https://source.unsplash.com/400x400/?Irish%20Potato%20Pizza%20Gold%20Ring,food"
씨앗타르트,Seed tarts,"https://source.unsplash.com/400x400/?Seed%20tarts,food"
토피 넛 라떼 아이스,Toffee Nut Latte Ice,"https://source.unsplash.com/400x400/?Toffee%20Nut%20Latte%20Ice,food"
메리트리,Meritri,"https://source.unsplash.com/400x400/?Meritri,food"
화이트갈릭싸이 버거,White garlic cy burger,"https://source.unsplash.com/400x400/?White%20garlic%20cy%20burger,food"
가오리찜,Stewed Stingray,"https://source.unsplash.com/400x400/?Stewed%20Stingray,food"
제주 한라봉감귤차 핫,Jeju Halla Bong Tangerine Tea Hot,"https://source.unsplash.com/400x400/?Jeju%20Halla%20Bong%20Tangerine%20Tea%20Hot,food"
건강주스 자몽미모,Health Juice Grapefruit Mimo,"https://source.unsplash.com/400x400/?Health%20Juice%20Grapefruit%20Mimo,food"
듬뿍생딸기생크림 케이크,Fresh Strawberry Cream Cake,"https://source.unsplash.com/400x400/?Fresh%20Strawberry%20Cream%20Cake,food"
플레인요거트 스무디,Plain yogurt smoothie,"https://source.unsplash.com/400x400/?Plain%20yogurt%20smoothie,food"
바지락찜,Stewed pants,"https://source.unsplash.com/400x400/?Stewed%20pants,food"
쿠앤크 라떼 핫,Kuank Latte Hot,"https://source.unsplash.com/400x400/?Kuank%20Latte%20Hot,food"
문어무침,Octopus,"https://source.unsplash.com/400x400/?Octopus,food"
흥부박포테이토 피자 리코타링,Bubbak Potato Pizza Ricotta Ring,"https://source.unsplash.com/400x400/?Bubbak%20Potato%20Pizza%20Ricotta%20Ring,food"
라떼 달구나 아이스,Latte sweet or iced,"https://source.unsplash.com/400x400/?Latte%20sweet%20or%20iced,food"
유자 피나콜라다 아이스,Yuzu Pinacolada Ice,"https://source.unsplash.com/400x400/?Yuzu%20Pinacolada%20Ice,food"
만두전골,Dumpling shells,"https://source.unsplash.com/400x400/?Dumpling%20shells,food"
소시지 케첩볶음,Stir-fried sausage ketchup,"https://source.unsplash.com/400x400/?Stir-fried%20sausage%20ketchup,food"
삼각김밥,Samgak Gimbap,"https://source.unsplash.com/400x400/?Samgak%20Gimbap,food"
플레인 베이글피자,Plain Bagel Pizza,"https://source.unsplash.com/400x400/?Plain%20Bagel%20Pizza,food"
통밀튜나 샌드위치,Whole wheat tuna sandwich,"https://source.unsplash.com/400x400/?Whole%20wheat%20tuna%20sandwich,food"
캐모마일리치티 핫,Chamomile Richness Hot,"https://source.unsplash.com/400x400/?Chamomile%20Richness%20Hot,food"
두부 달걀탕,Tofu egg soup,"https://source.unsplash.com/400x400/?Tofu%20egg%20soup,food"
로제소스,Rosé Sauce,"https://source.unsplash.com/400x400/?Ros%C3%A9%20Sauce,food"
막국수,Makguksu,"https://source.unsplash.com/400x400/?Makguksu,food"
볼로네제미트 브레드,Bolognese bread,"https://source.unsplash.com/400x400/?Bolognese%20bread,food"
초코바스크치즈 케이크,Choco Basque Cheese Cake,"https://source.unsplash.com/400x400/?Choco%20Basque%20Cheese%20Cake,food"
기네스머쉬룸와퍼 버거,Guinness Mushroom Whopper Burger,"https://source.unsplash.com/400x400/?Guinness%20Mushroom%20Whopper%20Burger,food"
더스퀘어 라떼아트 케이크,The Square Latte Art Cake,"https://source.unsplash.com/400x400/?The%20Square%20Latte%20Art%20Cake,food"
앙증맞은 앙버터 크로플,Angsty Anbutter Cropple,"https://source.unsplash.com/400x400/?Angsty%20Anbutter%20Cropple,food"
콩고물 스노우 빙수,Congomul Snow Shaved Ice,"https://source.unsplash.com/400x400/?Congomul%20Snow%20Shaved%20Ice,food"
호두호밀브레드,Walnut rye bread,"https://source.unsplash.com/400x400/?Walnut%20rye%20bread,food"
쉬림프골드 피자 흑미스크린,Shrimp gold pizza black screen,"https://source.unsplash.com/400x400/?Shrimp%20gold%20pizza%20black%20screen,food"
단호박 피자 라이스골드,Pumpkin Pizza Rice Gold,"https://source.unsplash.com/400x400/?Pumpkin%20Pizza%20Rice%20Gold,food"
아메리키토 아이스,Americito Ice,"https://source.unsplash.com/400x400/?Americito%20Ice,food"
순삭 크런치 포테이토 피자 오리지널 파마산 치즈,Sunsuck Crunch Potato Pizza Original Parmesan Cheese,"https://source.unsplash.com/400x400/?Sunsuck%20Crunch%20Potato%20Pizza%20Original%20Parmesan%20Cheese,food"
초코 쿠키 프라페,Choco Cookie Frappe,"https://source.unsplash.com/400x400/?Choco%20Cookie%20Frappe,food"
치즈 케이크,cheese cake,"https://source.unsplash.com/400x400/?cheese%20cake,food"
냉이 된장국,Cold miso soup,"https://source.unsplash.com/400x400/?Cold%20miso%20soup,food"
감귤 오미자차 핫,Citrus Omiza Hot,"https://source.unsplash.com/400x400/?Citrus%20Omiza%20Hot,food"
